City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,air_quality_concentration
Provo,Utah,23.6,56231.0,59027.0,115258,10925.0,3.28,UT,
Deerfield Beach,Florida,41.4,37155.0,42614.0,79769,23642.0,2.46,FL,
Alexandria,Virginia,36.6,74989.0,78522.0,153511,44030.0,2.2,VA,
Portland,Maine,40.3,31480.0,35392.0,66872,9229.0,2.13,ME,
East Los Angeles,California,32.6,60460.0,59206.0,119666,49575.0,3.75,CA,
Warren,Michigan,43.2,64063.0,71293.0,135356,18822.0,2.45,MI,
Auburn,Washington,37.1,36837.0,39743.0,76580,14842.0,2.73,WA,
Kissimmee,Florida,36.7,33283.0,35869.0,69152,16879.0,3.01,FL,
Grand Prairie,Texas,33.1,90811.0,96944.0,187755,44888.0,3.18,TX,
Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,10599.0,2.4,TN,
Ontario,California,31.0,85059.0,86141.0,171200,48557.0,3.52,CA,
Visalia,California,32.6,63695.0,66399.0,130094,20779.0,3.11,CA,
Clarksville,Tennessee,29.7,75029.0,74161.0,149190,8211.0,2.64,TN,
Kennewick,Washington,32.0,38492.0,40411.0,78903,8376.0,2.78,WA,
Pasadena,Texas,31.5,78827.0,74959.0,153786,38072.0,2.95,TX,
Saint George,Utah,37.3,38732.0,41475.0,80207,4824.0,2.81,UT,
Davie,Florida,40.8,48754.0,52140.0,100894,26532.0,2.719999999999999,FL,
Clearwater,Florida,47.0,55225.0,57754.0,112979,17686.0,2.4,FL,
Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,34003.0,2.91,FL,
Pittsburg,California,34.5,33309.0,36118.0,69427,21043.0,3.15,CA,
Medford,Oregon,38.6,39606.0,40189.0,79795,6185.0,2.65,OR,
North Richland Hills,Texas,39.9,35257.0,33948.0,69205,7854.0,2.64,TX,
Skokie,Illinois,43.4,31382.0,33437.0,64819,27424.0,2.78,IL,
Missouri City,Texas,37.2,34932.0,36846.0,71778,18556.0,3.03,TX,
Miramar,Florida,36.6,66157.0,70958.0,137115,57179.0,3.41,FL,
Union City,California,38.5,38599.0,35911.0,74510,32752.0,3.46,CA,
West Jordan,Utah,30.8,57898.0,54044.0,111942,11492.0,3.46,UT,
Evansville,Indiana,38.0,57198.0,60481.0,117679,3169.0,2.25,IN,
The Woodlands,Texas,38.8,56083.0,63061.0,119144,21188.0,2.93,TX,
Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,22135.0,2.61,FL,
Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,13708.0,2.66,MI,
Suffolk,Virginia,38.2,43048.0,45113.0,88161,2829.0,2.719999999999999,VA,
Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,35320.0,2.48,CO,
Lewisville,Texas,31.6,52776.0,52032.0,104808,24865.0,2.78,TX,
Santa Maria,California,30.1,53320.0,51762.0,105082,39192.0,3.83,CA,
Mount Pleasant,South Carolina,42.7,39429.0,41880.0,81309,4701.0,2.53,SC,
Schaumburg,Illinois,36.9,35971.0,39840.0,75811,24614.0,2.719999999999999,IL,
Manteca,California,35.3,37053.0,38397.0,75450,13942.0,3.25,CA,
Birmingham,Alabama,35.6,102122.0,112789.0,214911,8258.0,2.21,AL,
Aurora,Colorado,34.2,177899.0,180971.0,358870,65816.0,2.8200000000000003,CO,
Rockville,Maryland,38.1,31205.0,35793.0,66998,25047.0,2.6,MD,
Roswell,Georgia,38.8,48637.0,45859.0,94496,16501.0,2.7,GA,
Knoxville,Tennessee,33.1,89978.0,95334.0,185312,10285.0,2.21,TN,
San Marcos,California,35.4,45246.0,47688.0,92934,21558.0,3.13,CA,
Vallejo,California,37.8,58379.0,62890.0,121269,30592.0,2.83,CA,
San Francisco,California,38.3,439752.0,425064.0,864816,297199.0,2.37,CA,
Muncie,Indiana,27.4,32446.0,37255.0,69701,1062.0,2.35,IN,
Las Cruces,New Mexico,32.7,47835.0,53809.0,101644,11888.0,2.58,NM,
Sioux City,Iowa,34.3,38827.0,43949.0,82776,7471.0,2.5700000000000003,IA,
Ellicott City,Maryland,42.4,34406.0,36526.0,70932,17587.0,2.73,MD,
Fontana,California,29.5,100644.0,106828.0,207472,61448.0,4.15,CA,
Waukegan,Illinois,32.3,45514.0,42833.0,88347,30997.0,2.92,IL,
Eugene,Oregon,33.4,79071.0,84377.0,163448,14503.0,2.34,OR,
Hollywood,Florida,41.4,75358.0,74363.0,149721,55158.0,2.65,FL,
Walnut Creek,California,47.6,31994.0,36912.0,68906,13624.0,2.22,CA,
San Mateo,California,39.3,50966.0,52558.0,103524,34957.0,2.64,CA,
Killeen,Texas,29.2,69442.0,71367.0,140809,15769.0,2.719999999999999,TX,
Mount Vernon,New York,38.5,31876.0,36745.0,68621,23777.0,2.85,NY,
Akron,Ohio,38.1,96886.0,100667.0,197553,10024.0,2.24,OH,
Flagstaff,Arizona,23.9,33224.0,37093.0,70317,4262.0,2.55,AZ,
Davenport,Iowa,35.2,50123.0,52454.0,102577,4065.0,2.39,IA,
Wichita,Kansas,34.6,192354.0,197601.0,389955,40270.0,2.56,KS,
South Bend,Indiana,32.4,50483.0,53274.0,103757,8779.0,2.719999999999999,IN,
Livonia,Michigan,47.4,45369.0,49264.0,94633,7175.0,2.52,MI,
Bloomington,Minnesota,40.9,43318.0,43118.0,86436,10728.0,2.3,MN,
Beaumont,Texas,31.6,57326.0,60784.0,118110,10516.0,2.47,TX,
Phoenix,Arizona,33.8,786833.0,776168.0,1563001,300702.0,2.89,AZ,
Torrance,California,41.2,73209.0,75259.0,148468,43096.0,2.7,CA,
Loveland,Colorado,37.6,37042.0,38146.0,75188,3050.0,2.53,CO,
Buena Park,California,35.7,41593.0,41671.0,83264,28430.0,3.55,CA,
McKinney,Texas,35.6,77339.0,85548.0,162887,25760.0,2.91,TX,
Temecula,California,34.2,54407.0,57619.0,112026,18884.0,3.34,CA,
New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,19024.0,2.39,MA,
Toledo,Ohio,36.1,135455.0,144323.0,279778,9257.0,2.29,OH,
Avondale,Arizona,29.1,38712.0,41971.0,80683,8355.0,3.18,AZ,
Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,17490.0,2.85,MN,
Inglewood,California,34.9,52995.0,58661.0,111656,34171.0,3.12,CA,
Chicago,Illinois,34.2,1320015.0,1400541.0,2720556,573463.0,2.53,IL,
Boca Raton,Florida,47.3,44760.0,48466.0,93226,21117.0,2.22,FL,
Overland Park,Kansas,38.2,93355.0,93156.0,186511,21407.0,2.41,KS,
Oshkosh,Wisconsin,33.0,32905.0,33652.0,66557,2348.0,2.3,WI,
Fort Myers,Florida,37.3,36850.0,37165.0,74015,15365.0,2.45,FL,
Pasadena,California,37.6,67712.0,74534.0,142246,40779.0,2.63,CA,
Indio,California,35.9,43803.0,43723.0,87526,22538.0,3.08,CA,
Farmington Hills,Michigan,42.1,37527.0,43805.0,81332,18033.0,2.41,MI,
Baldwin Park,California,35.8,38747.0,38309.0,77056,34322.0,4.13,CA,
Bellevue,Washington,37.4,70763.0,69051.0,139814,54654.0,2.43,WA,
Gary,Indiana,38.1,35876.0,41478.0,77354,1884.0,2.35,IN,
Dayton,Ohio,32.8,66631.0,73966.0,140597,7381.0,2.26,OH,
Laguna Niguel,California,45.8,30193.0,35619.0,65812,12571.0,2.58,CA,
Syracuse,New York,30.3,69462.0,74690.0,144152,17733.0,2.39,NY,
Indianapolis,Indiana,34.1,410615.0,437808.0,848423,72456.0,2.53,IN,
San Jose,California,36.5,518317.0,508602.0,1026919,401493.0,3.13,CA,
Topeka,Kansas,37.1,60879.0,66378.0,127257,6711.0,2.32,KS,
Arvada,Colorado,41.0,54870.0,60165.0,115035,4921.0,2.49,CO,
Chula Vista,California,34.6,131485.0,134269.0,265754,82710.0,3.32,CA,
Omaha,Nebraska,34.2,218789.0,225098.0,443887,48263.0,2.47,NE,
Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,28613.0,2.34,KY,
Yakima,Washington,34.0,45147.0,48553.0,93700,15717.0,2.74,WA,
Wichita Falls,Texas,34.0,55775.0,48934.0,104709,9855.0,2.41,TX,
Huntsville,Alabama,38.1,91764.0,97350.0,189114,12691.0,2.18,AL,
Beaverton,Oregon,35.6,47325.0,49252.0,96577,18933.0,2.46,OR,
Union City,New Jersey,35.4,35376.0,33773.0,69149,40553.0,2.85,NJ,
Framingham,Massachusetts,40.3,35442.0,35768.0,71210,19070.0,2.49,MA,
Cape Coral,Florida,45.0,85626.0,89604.0,175230,24185.0,2.85,FL,
Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,3803.0,2.68,MO,
Oklahoma City,Oklahoma,34.1,309227.0,322036.0,631263,80165.0,2.58,OK,
McAllen,Texas,32.3,68332.0,71921.0,140253,37691.0,3.19,TX,
Odessa,Texas,31.2,61119.0,57861.0,118980,15845.0,2.92,TX,
Asheville,North Carolina,37.9,42100.0,46407.0,88507,6630.0,2.18,NC,
Spokane,Washington,36.6,102756.0,110511.0,213267,13253.0,2.34,WA,
Racine,Wisconsin,33.7,39314.0,38423.0,77737,4403.0,2.56,WI,
Carrollton,Texas,36.9,66928.0,66218.0,133146,35327.0,2.78,TX,
Lafayette,Louisiana,31.7,64018.0,63643.0,127661,5396.0,2.54,LA,
Gresham,Oregon,36.7,53866.0,56716.0,110582,17860.0,2.67,OR,
Norwalk,Connecticut,42.4,40880.0,47603.0,88483,22328.0,2.7,CT,
Menifee,California,37.1,42866.0,44297.0,87163,12481.0,3.06,CA,
Yorba Linda,California,45.5,31960.0,36006.0,67966,15532.0,3.0,CA,
Livermore,California,36.7,41522.0,46595.0,88117,13959.0,2.91,CA,
Saint Charles,Missouri,34.9,32054.0,36747.0,68801,5274.0,2.33,MO,
Hesperia,California,29.4,43588.0,49698.0,93286,16667.0,3.52,CA,
Baltimore,Maryland,34.7,294027.0,327822.0,621849,49857.0,2.51,MD,
Whittier,California,36.1,44397.0,43039.0,87436,17145.0,3.11,CA,
College Station,Texas,22.9,54125.0,53774.0,107899,16145.0,2.52,TX,
Layton,Utah,29.5,37748.0,36394.0,74142,4268.0,3.24,UT,
Roseville,California,38.4,62591.0,67691.0,130282,18161.0,2.719999999999999,CA,
Cleveland,Ohio,36.0,186436.0,201623.0,388059,18830.0,2.24,OH,
Waco,Texas,29.3,63452.0,68890.0,132342,14235.0,2.5700000000000003,TX,
Tempe,Arizona,28.8,91350.0,84476.0,175826,26620.0,2.44,AZ,
Concord,North Carolina,35.7,42732.0,44961.0,87693,8847.0,2.719999999999999,NC,
Ames,Iowa,23.0,33814.0,31238.0,65052,8606.0,2.16,IA,
Canton,Ohio,33.4,34476.0,37419.0,71895,2204.0,2.32,OH,
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,28187.0,2.13,PA,
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,33878.0,3.18,CA,
Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,19146.0,2.45,IN,
North Charleston,South Carolina,30.7,56549.0,55315.0,111864,8789.0,2.8200000000000003,SC,
Riverview,Florida,32.2,44210.0,45536.0,89746,12240.0,3.22,FL,
San Clemente,California,45.2,34076.0,31456.0,65532,8109.0,2.64,CA,
Plantation,Florida,40.6,42881.0,49674.0,92555,27902.0,2.73,FL,
Olathe,Kansas,33.0,65046.0,69270.0,134316,11913.0,2.969999999999999,KS,
Virginia Beach,Virginia,35.4,222684.0,230061.0,452745,38360.0,2.61,VA,
Renton,Washington,36.3,52779.0,47468.0,100247,28962.0,2.5700000000000003,WA,
Lawrence,Kansas,27.4,45592.0,48324.0,93916,8701.0,2.53,KS,
Grand Rapids,Michigan,32.1,95669.0,99430.0,195099,19176.0,2.56,MI,
Miami,Florida,40.4,215840.0,225149.0,440989,260789.0,2.5,FL,
Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,6295.0,2.46,PA,
Orlando,Florida,33.1,130940.0,139977.0,270917,50558.0,2.42,FL,
Sacramento,California,33.7,237724.0,252991.0,490715,112579.0,2.73,CA,
Vancouver,Washington,37.2,82958.0,89895.0,172853,21748.0,2.49,WA,
Washington,District of Columbia,33.8,319705.0,352523.0,672228,95117.0,2.24,DC,
Rancho Cordova,California,33.8,34844.0,36182.0,71026,17020.0,2.86,CA,
South Jordan,Utah,33.8,33669.0,32970.0,66639,6142.0,3.61,UT,
Trenton,New Jersey,33.3,42581.0,41650.0,84231,20428.0,3.04,NJ,
Pleasanton,California,41.3,36662.0,42857.0,79519,23208.0,2.87,CA,
Southfield,Michigan,41.6,31369.0,41808.0,73177,4011.0,2.27,MI,
San Angelo,Texas,32.8,49669.0,50744.0,100413,7859.0,2.5,TX,
Denver,Colorado,34.1,341137.0,341408.0,682545,113222.0,2.33,CO,
Greeley,Colorado,31.0,50792.0,50091.0,100883,11480.0,2.75,CO,
Tustin,California,33.4,39511.0,41052.0,80563,25034.0,3.27,CA,
Shawnee,Kansas,40.1,32313.0,32745.0,65058,4136.0,2.64,KS,
Somerville,Massachusetts,31.0,41028.0,39306.0,80334,22292.0,2.43,MA,
Sparks,Nevada,36.1,47780.0,48318.0,96098,15690.0,2.63,NV,
Rialto,California,31.6,49902.0,53235.0,103137,32741.0,3.83,CA,
Pomona,California,32.1,74945.0,78307.0,153252,53879.0,3.63,CA,
Kenosha,Wisconsin,36.3,49349.0,50507.0,99856,7443.0,2.55,WI,
Garden Grove,California,37.8,86779.0,88605.0,175384,80677.0,3.66,CA,
Detroit,Michigan,34.8,319265.0,357859.0,677124,39861.0,2.6,MI,
Temple,Texas,33.6,33512.0,38785.0,72297,3968.0,2.59,TX,
Mountain View,California,33.5,42493.0,37945.0,80438,31857.0,2.46,CA,
Scottsdale,Arizona,46.9,115712.0,121132.0,236844,27207.0,2.17,AZ,
New Britain,Connecticut,33.4,37350.0,35459.0,72809,15080.0,2.52,CT,
Kenner,Louisiana,36.9,33993.0,33113.0,67106,12352.0,2.5700000000000003,LA,
Allen,Pennsylvania,33.5,60626.0,59581.0,120207,19652.0,2.67,PA,
Gulfport,Mississippi,35.1,33108.0,38764.0,71872,3072.0,2.54,MS,
Wilmington,North Carolina,35.5,52346.0,63601.0,115947,7401.0,2.24,NC,
Centreville,Virginia,36.0,34749.0,37033.0,71782,27797.0,2.969999999999999,VA,
Escondido,California,33.3,76551.0,74907.0,151458,46298.0,3.27,CA,
Fishers,Indiana,34.5,42161.0,43910.0,86071,6138.0,2.8,IN,
Brandon,Florida,36.1,55679.0,58289.0,113968,16390.0,2.64,FL,
Kendall,Florida,40.2,36658.0,39808.0,76466,31180.0,2.81,FL,
Albany,New York,32.8,47627.0,50825.0,98452,11948.0,2.08,NY,
Danbury,Connecticut,37.3,43435.0,41227.0,84662,25675.0,2.74,CT,
Hemet,California,36.8,38622.0,45251.0,83873,13330.0,2.969999999999999,CA,
Thornton,Colorado,33.1,65482.0,67977.0,133459,17949.0,2.969999999999999,CO,
Columbia,South Carolina,28.0,67686.0,65707.0,133393,6074.0,2.32,SC,
Enterprise,Nevada,34.1,69146.0,66328.0,135474,31173.0,2.89,NV,
Bk,California,37.0,50405.0,54909.0,105314,32435.0,2.52,CA,
Houston,Texas,32.6,1149686.0,1148942.0,2298628,696210.0,2.66,TX,
Oceanside,California,39.4,87482.0,88232.0,175714,37492.0,2.719999999999999,CA,
Orange,California,35.0,67337.0,73658.0,140995,34550.0,3.14,CA,
Carlsbad,California,42.1,55119.0,58347.0,113466,17689.0,2.68,CA,
Silver Spring,Maryland,33.8,40601.0,41862.0,82463,30908.0,2.6,MD,
Corpus Christi,Texas,35.0,160488.0,163594.0,324082,30834.0,2.69,TX,
Montgomery,Alabama,35.4,94582.0,106004.0,200586,9337.0,2.41,AL,
Ogden,Utah,31.3,44323.0,41127.0,85450,12791.0,2.68,UT,
Nashua,New Hampshire,38.3,42926.0,45049.0,87975,12693.0,2.46,NH,
Lakeland,Florida,38.1,47840.0,56570.0,104410,11592.0,2.56,FL,
Boynton Beach,Florida,45.8,33701.0,40271.0,73972,15431.0,2.45,FL,
Murfreesboro,Tennessee,30.2,60704.0,65417.0,126121,8948.0,2.6,TN,
Champaign,Illinois,28.7,43326.0,42760.0,86086,12261.0,2.25,IL,
Pueblo,Colorado,37.6,55635.0,53784.0,109419,3578.0,2.44,CO,
Sugar Land,Texas,42.1,43889.0,44240.0,88129,31169.0,2.95,TX,
North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,49815.0,3.31,NV,
Fayetteville,Arkansas,27.1,41959.0,40873.0,82832,6313.0,2.28,AR,
Irvine,California,34.6,125411.0,131516.0,256927,116366.0,2.73,CA,
Youngs,Ohio,37.5,30758.0,33851.0,64609,1058.0,2.22,OH,
Modesto,California,35.2,104852.0,106405.0,211257,39613.0,2.969999999999999,CA,
Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,3215.0,2.36,LA,
Plymouth,Minnesota,38.4,39035.0,36893.0,75928,8830.0,2.46,MN,
Santa Monica,California,40.6,46732.0,46487.0,93219,24448.0,2.0,CA,
Bakersfield,California,30.6,182154.0,191473.0,373627,71575.0,3.23,CA,
Cranston,Rhode Island,39.9,38365.0,42712.0,81077,10631.0,2.56,RI,
Arlington,Texas,32.6,191060.0,197062.0,388122,79271.0,2.89,TX,
Lauderhill,Florida,35.7,32813.0,38761.0,71574,25471.0,3.02,FL,
Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,9813.0,2.37,WI,
Lincoln,Nebraska,32.3,138544.0,138802.0,277346,22958.0,2.4,NE,
Perris,California,26.9,41623.0,33336.0,74959,23277.0,4.78,CA,
Meridian,Idaho,38.0,43353.0,47400.0,90753,8110.0,2.54,ID,
Spring Hill,Florida,45.1,48295.0,54902.0,103197,7893.0,2.58,FL,
Bend,Oregon,37.3,42294.0,44723.0,87017,3032.0,2.39,OR,
Huntington Beach,California,41.6,99967.0,101960.0,201927,35368.0,2.67,CA,
Los Angeles,California,35.0,1958998.0,2012898.0,3971896,1485425.0,2.86,CA,
San Juan,Puerto Rico,41.4,155408.0,186829.0,342237,,,PR,
Simi Valley,California,39.0,63243.0,63523.0,126766,23260.0,3.13,CA,
Roanoke,Virginia,36.9,47252.0,52645.0,99897,7346.0,2.35,VA,
Hialeah,Florida,43.0,111530.0,125552.0,237082,170148.0,3.31,FL,
Lafayette,Indiana,33.5,34313.0,36857.0,71170,5697.0,2.19,IN,
Palm Bay,Florida,40.7,51767.0,56128.0,107895,12070.0,2.8200000000000003,FL,
Fort Worth,Texas,32.6,414126.0,422843.0,836969,143404.0,2.88,TX,
Bellingham,Washington,30.7,41286.0,43857.0,85143,8713.0,2.44,WA,
Independence,Missouri,38.6,54348.0,62907.0,117255,4911.0,2.33,MO,
Peoria,Arizona,36.9,80139.0,91103.0,171242,14260.0,2.969999999999999,AZ,
Fall River,Massachusetts,39.3,43314.0,45456.0,88770,14775.0,2.21,MA,
Yuba City,California,34.5,33654.0,33290.0,66944,18032.0,2.9,CA,
Tuscaloosa,Alabama,29.1,47293.0,51045.0,98338,4706.0,2.67,AL,
Palatine,Illinois,38.0,36506.0,32763.0,69269,21760.0,2.69,IL,
Napa,California,37.2,39828.0,40601.0,80429,18449.0,2.84,CA,
Franklin,Tennessee,38.3,34991.0,37644.0,72635,6876.0,2.73,TN,
Nampa,Idaho,31.4,45651.0,44199.0,89850,6607.0,2.98,ID,
Cheektowaga,New York,40.7,37476.0,38599.0,76075,3532.0,2.3,NY,
Plano,Texas,38.1,138565.0,145054.0,283619,74030.0,2.65,TX,
Merced,California,29.7,40048.0,42392.0,82440,16348.0,3.15,CA,
Salem,Oregon,35.4,80839.0,83704.0,164543,19668.0,2.69,OR,
Lowell,Massachusetts,33.4,54422.0,56298.0,110720,33414.0,2.8,MA,
Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,6971.0,2.58,MD,
Clifton,New Jersey,38.5,41932.0,44409.0,86341,27979.0,3.11,NJ,
Dale City,Virginia,33.4,35984.0,35415.0,71399,22306.0,3.65,VA,
Fort Collins,Colorado,29.6,80893.0,80288.0,161181,9704.0,2.45,CO,
Hayward,California,34.3,78152.0,80148.0,158300,60970.0,3.32,CA,
Woodbury,Minnesota,37.7,31982.0,35868.0,67850,9477.0,2.719999999999999,MN,
Dearborn,Michigan,33.5,46482.0,48698.0,95180,23920.0,3.04,MI,
Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,20717.0,2.17,MI,
Bayamón,Puerto Rico,39.4,80128.0,90131.0,170259,,,PR,
Hammond,Indiana,36.0,38923.0,38687.0,77610,9224.0,2.61,IN,
Bossier City,Louisiana,32.7,33428.0,34669.0,68097,2980.0,2.4,LA,
Salinas,California,30.4,77765.0,79621.0,157386,58693.0,3.719999999999999,CA,
New York,New York,36.0,4081698.0,4468707.0,8550405,3212500.0,2.68,NY,
Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,2833.0,2.4,WI,
Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,34313.0,2.66,MI,
Miami Beach,Florida,42.5,48090.0,44221.0,92311,49908.0,2.1,FL,
Victoria,Texas,35.8,32290.0,35291.0,67581,4480.0,2.7,TX,
Des Moines,Iowa,34.5,103726.0,106591.0,210317,23857.0,2.41,IA,
Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,15212.0,3.42,IL,
Bloomington,Indiana,23.5,40588.0,43227.0,83815,10033.0,2.33,IN,
The Villages,Florida,70.5,,,72590,4034.0,,FL,
